メッセージコード,機能,表示条件,備考,日本語メッセージ,英語メッセージ,中国語(簡体字)メッセージ,中国語(繁体字)メッセージ
E01001,ログイン,ログイン失敗時,,ログインに失敗しました。メールアドレスとパスワードをお確かめの上、再度ログイン処理を実行してください。,Login failed. Please check your email address and password， then try again.,登录失败。请检查您的邮箱地址和密码后重新登录。,登入失敗。請確認您的電子郵件地址和密碼後重新登入。
E02001,会員仮登録,未入力,会員変更時、お問い合わせも同様,「メールアドレス」を入力してください。,Please enter your email address.,请输入邮箱地址。,請輸入電子郵件地址。
E02002,,フォーマットエラー,会員変更時、お問い合わせも同様,「メールアドレス」を正しく入力してください。,Please enter a valid email address.,请输入正确的邮箱地址。,請輸入正確的電子郵件地址。
E02003,,メールアドレス重複時,会員変更時も同様,そのメールアドレスはすでに登録されております。別のメールアドレスを指定してください。,This email address is already registered. Please use another email address.,该邮箱地址已被注册，请使用其他邮箱地址。,該電子郵件地址已被註冊，請使用其他電子郵件地址。
E03001,会員登録、変更,未入力,お問い合わせも同様,「姓」を入力してください。,Please enter your last name.,请输入姓。,請輸入姓氏。
E03002,,未入力,お問い合わせも同様,「名」を入力してください。,Please enter your first name.,请输入名。,請輸入名字。
E03003,,未選択,お問い合わせも同様,「居住国」を選択してください。,Please select your country of residence.,请选择居住国家。,請選擇居住國家。
E03004,,未選択,お問い合わせも同様,「年齢層」を選択してください。,Please select your age group.,请选择年龄段。,請選擇年齡層。
E03005,,未入力,パスワード再設定画面も同様,「パスワード」を入力してください。,Please enter your password.,请输入密码。,請輸入密碼。
E03006,,フォーマットエラー,パスワード再設定画面も同様,「パスワード」は半角英数字で入力してください。,Please use only letters and numbers for the password.,密码只能使用英文字母和数字。,密碼只能使用英文字母與數字。
E03007,,文字数エラー,パスワード再設定画面も同様,「パスワード」は8文字以上20文字以下で入力してください。,Password must be between 8 and 20 characters long.,密码长度需为8至20个字符。,密碼長度需為8至20個字元。
E03008,,未入力,,「利用規約／個人情報保護方針」に同意されましたらチェックをしてください。,Please check the box to agree to the Terms of Use and Privacy Policy.,请勾选同意《使用条款／隐私政策》。,請勾選同意《使用條款／隱私權政策》。
E04001,パスワード再設定,二重入力チェック,,「パスワード」が一致しません。,Passwords do not match.,两次输入的密码不合。,兩次輸入的密碼不合。
E05001,お問い合わせ,未入力,,「お問い合わせ内容」を入力してください。,Please enter your inquiry.,请输入咨询内容。,請輸入諮詢內容。
E05002,,未入力,,「個人情報保護方針」に同意されましたらチェックをしてください。,Please check the box to agree to the Privacy Policy.,请勾选同意《隐私政策》。,請勾選同意《隱私權政策》。
S01001,仮登録完了,メール件名,,【OHENRO.ONLINE】仮登録完了,[OHENRO.ONLINE] Temporary registration completed,【OHENRO.ONLINE】临时注册完成,【OHENRO.ONLINE】臨時註冊完成
S01002,本登録完了,メール件名,,【OHENRO.ONLINE】ご登録ありがとうございます,[OHENRO.ONLINE] Thank you for registering,【OHENRO.ONLINE】感谢您的注册,【OHENRO.ONLINE】感謝您的註冊
S01003,会員情報変更,メール件名,,【OHENRO.ONLINE】ご登録変更,[OHENRO.ONLINE] Registration information updated,【OHENRO.ONLINE】注册信息已更新,【OHENRO.ONLINE】註冊資訊已更新
S01004,パスワード再設定,メール件名,,【OHENRO.ONLINE】パスワード再設定,[OHENRO.ONLINE] Password reset,【OHENRO.ONLINE】密码重设,【OHENRO.ONLINE】密碼重設
S01005,会員退会,メール件名,,【OHENRO.ONLINE】会員情報を削除いたしました,[OHENRO.ONLINE] Your account has been deleted,【OHENRO.ONLINE】会员信息已删除,【OHENRO.ONLINE】會員資訊已刪除
S01006,メルマガ購読変更,メール件名,不要？,【OHENRO.ONLINE】メールマガジン購読変更,[OHENRO.ONLINE] Newsletter preferences updated,【OHENRO.ONLINE】电子报订阅已更新,【OHENRO.ONLINE】電子報訂閱已更新
S01007,お問い合わせ,メール件名,,【OHENRO.ONLINE】お問い合わせありがとうございます,[OHENRO.ONLINE] Thank you for your inquiry,【OHENRO.ONLINE】感谢您的咨询,【OHENRO.ONLINE】感謝您的諮詢
,,,,,,,
